"name"	"dirs"	"files"	"meansize"	"stdev"
"/local/scratch/rgr22/linux-2.6.18/security"	2	9	8724	7541.09
"/local/scratch/rgr22/linux-2.6.18/security/selinux"	2	10	20311	33759.14
"/local/scratch/rgr22/linux-2.6.18/security/selinux/ss"	0	22	7534.86	12134.05
"/local/scratch/rgr22/linux-2.6.18/security/selinux/include"	0	14	6709.71	14338.51
"/local/scratch/rgr22/linux-2.6.18/security/keys"	0	12	11285.08	9173.47
"/local/scratch/rgr22/linux-2.6.18/scripts"	7	38	4924.66	8611.57
"/local/scratch/rgr22/linux-2.6.18/scripts/rt-tester"	0	15	1918.67	1068.66
"/local/scratch/rgr22/linux-2.6.18/scripts/package"	0	4	2960	449.24
"/local/scratch/rgr22/linux-2.6.18/scripts/mod"	0	8	8946	12079.21
"/local/scratch/rgr22/linux-2.6.18/scripts/ksymoops"	0	1	386	0
"/local/scratch/rgr22/linux-2.6.18/scripts/kconfig"	1	26	15895.65	17380.07
"/local/scratch/rgr22/linux-2.6.18/scripts/kconfig/lxdialog"	0	14	5295.79	4347.39
"/local/scratch/rgr22/linux-2.6.18/scripts/genksyms"	0	11	15100.36	20938.22
"/local/scratch/rgr22/linux-2.6.18/scripts/basic"	0	4	5130.5	4769.96
"/local/scratch/rgr22/linux-2.6.18/net"	34	7	12246.43	17583.42
"/local/scratch/rgr22/linux-2.6.18/net/xfrm"	0	7	17688.14	16787.8
"/local/scratch/rgr22/linux-2.6.18/net/x25"	0	13	7811.08	9034.3
"/local/scratch/rgr22/linux-2.6.18/net/wanrouter"	0	6	16781.17	24023.08
"/local/scratch/rgr22/linux-2.6.18/net/unix"	0	5	11676.8	18700.1
"/local/scratch/rgr22/linux-2.6.18/net/tipc"	0	46	11133.8	14783.94
"/local/scratch/rgr22/linux-2.6.18/net/sunrpc"	1	21	15081.76	12657.68
"/local/scratch/rgr22/linux-2.6.18/net/sunrpc/auth_gss"	0	15	9734.27	9981.85
"/local/scratch/rgr22/linux-2.6.18/net/sctp"	0	29	30037.79	42116.45
"/local/scratch/rgr22/linux-2.6.18/net/sched"	0	42	12916.86	11867.44
"/local/scratch/rgr22/linux-2.6.18/net/rxrpc"	0	13	12039.77	14925.93
"/local/scratch/rgr22/linux-2.6.18/net/rose"	0	11	10418.64	11969.61
"/local/scratch/rgr22/linux-2.6.18/net/packet"	0	3	14759.33	20373.53
"/local/scratch/rgr22/linux-2.6.18/net/netrom"	0	10	9404.2	10018.69
"/local/scratch/rgr22/linux-2.6.18/net/netlink"	0	4	15254	15296.31
"/local/scratch/rgr22/linux-2.6.18/net/netfilter"	0	50	8675.08	10788.39
"/local/scratch/rgr22/linux-2.6.18/net/llc"	0	19	18528.53	33416.93
"/local/scratch/rgr22/linux-2.6.18/net/lapb"	0	7	6686.14	5765.43
"/local/scratch/rgr22/linux-2.6.18/net/key"	0	2	44184.5	44118.5
"/local/scratch/rgr22/linux-2.6.18/net/irda"	3	23	23323.52	19811.73
"/local/scratch/rgr22/linux-2.6.18/net/irda/irnet"	0	7	16957.14	19686.39
"/local/scratch/rgr22/linux-2.6.18/net/irda/irlan"	0	10	9724.5	8644.88
"/local/scratch/rgr22/linux-2.6.18/net/irda/ircomm"	0	10	13745.4	11683.01
"/local/scratch/rgr22/linux-2.6.18/net/ipx"	0	7	10762	16775.26
"/local/scratch/rgr22/linux-2.6.18/net/ipv6"	1	41	17718.05	19895.74
"/local/scratch/rgr22/linux-2.6.18/net/ipv6/netfilter"	0	22	8127.18	8312.75
"/local/scratch/rgr22/linux-2.6.18/net/ipv4"	2	72	19364.35	22598.43
"/local/scratch/rgr22/linux-2.6.18/net/ipv4/netfilter"	0	71	12422.9	15049.91
"/local/scratch/rgr22/linux-2.6.18/net/ipv4/ipvs"	0	26	11542.69	11610.49
"/local/scratch/rgr22/linux-2.6.18/net/ieee80211"	1	11	13862.09	13646.92
"/local/scratch/rgr22/linux-2.6.18/net/ieee80211/softmac"	0	10	9742.8	5832.65
"/local/scratch/rgr22/linux-2.6.18/net/ethernet"	0	3	3026	3615.5
"/local/scratch/rgr22/linux-2.6.18/net/econet"	0	3	9092	11941.64
"/local/scratch/rgr22/linux-2.6.18/net/decnet"	1	15	17318.87	16261.08
"/local/scratch/rgr22/linux-2.6.18/net/decnet/netfilter"	0	3	1520.67	1775.14
"/local/scratch/rgr22/linux-2.6.18/net/dccp"	1	20	10927.9	9752.69
"/local/scratch/rgr22/linux-2.6.18/net/dccp/ccids"	1	6	11465.67	13725.51
"/local/scratch/rgr22/linux-2.6.18/net/dccp/ccids/lib"	0	7	5033.57	5040.86
"/local/scratch/rgr22/linux-2.6.18/net/core"	0	28	21003.36	25716.15
"/local/scratch/rgr22/linux-2.6.18/net/bridge"	1	20	6736.65	6422.35
"/local/scratch/rgr22/linux-2.6.18/net/bridge/netfilter"	0	22	5032.5	7902.55
"/local/scratch/rgr22/linux-2.6.18/net/bluetooth"	4	11	16325.45	14772.96
"/local/scratch/rgr22/linux-2.6.18/net/bluetooth/rfcomm"	0	5	18761.2	17834.79
"/local/scratch/rgr22/linux-2.6.18/net/bluetooth/hidp"	0	5	5879.8	6976.6
"/local/scratch/rgr22/linux-2.6.18/net/bluetooth/cmtp"	0	6	5752.67	5553.72
"/local/scratch/rgr22/linux-2.6.18/net/bluetooth/bnep"	0	6	5397.33	5116.76
"/local/scratch/rgr22/linux-2.6.18/net/ax25"	0	21	7883.38	8873.82
"/local/scratch/rgr22/linux-2.6.18/net/atm"	0	31	10331.48	16767.52
"/local/scratch/rgr22/linux-2.6.18/net/appletalk"	0	6	14516.17	18352.69
"/local/scratch/rgr22/linux-2.6.18/net/8021q"	0	7	8460.29	9542.55
"/local/scratch/rgr22/linux-2.6.18/net/802"	0	9	4351.11	4354.98
"/local/scratch/rgr22/linux-2.6.18/mm"	0	47	19674.6	23137.73
"/local/scratch/rgr22/linux-2.6.18/lib"	3	71	5457.86	7513.11
"/local/scratch/rgr22/linux-2.6.18/lib/zlib_inflate"	0	10	7309.9	9217.12
"/local/scratch/rgr22/linux-2.6.18/lib/zlib_deflate"	0	5	19412.2	19158.22
"/local/scratch/rgr22/linux-2.6.18/lib/reed_solomon"	0	4	4522	3950.33
"/local/scratch/rgr22/linux-2.6.18/kernel"	3	77	19475.87	25917.02
"/local/scratch/rgr22/linux-2.6.18/kernel/time"	0	3	3932.67	3825.51
"/local/scratch/rgr22/linux-2.6.18/kernel/power"	0	14	6046.43	5519.87
"/local/scratch/rgr22/linux-2.6.18/kernel/irq"	0	10	5056.8	4223.55
"/local/scratch/rgr22/linux-2.6.18/ipc"	0	10	15039.4	11530.39
"/local/scratch/rgr22/linux-2.6.18/init"	0	11	7887.09	6176.06
"/local/scratch/rgr22/linux-2.6.18/include"	38	1	89	0
"/local/scratch/rgr22/linux-2.6.18/include/video"	0	31	12503.87	22103.21
"/local/scratch/rgr22/linux-2.6.18/include/sound"	0	77	9484.27	13340.44
"/local/scratch/rgr22/linux-2.6.18/include/scsi"	0	22	7200.27	6022.27
"/local/scratch/rgr22/linux-2.6.18/include/rxrpc"	0	11	2863.64	2293.45
"/local/scratch/rgr22/linux-2.6.18/include/rdma"	0	17	9510.71	10591.66
"/local/scratch/rgr22/linux-2.6.18/include/pcmcia"	0	11	5513.55	4717.97
"/local/scratch/rgr22/linux-2.6.18/include/net"	6	98	6391.92	7983.7
"/local/scratch/rgr22/linux-2.6.18/include/net/tipc"	0	4	5590.75	1592.64
"/local/scratch/rgr22/linux-2.6.18/include/net/tc_act"	0	5	236.6	95.94
"/local/scratch/rgr22/linux-2.6.18/include/net/sctp"	0	9	16654.44	16294.43
"/local/scratch/rgr22/linux-2.6.18/include/net/netfilter"	2	7	4454.43	3031.18
"/local/scratch/rgr22/linux-2.6.18/include/net/netfilter/ipv6"	0	1	567	0
"/local/scratch/rgr22/linux-2.6.18/include/net/netfilter/ipv4"	0	2	613	364
"/local/scratch/rgr22/linux-2.6.18/include/net/irda"	0	34	3670	2360.77
"/local/scratch/rgr22/linux-2.6.18/include/net/bluetooth"	0	6	9238	5987.73
"/local/scratch/rgr22/linux-2.6.18/include/mtd"	0	6	1519.67	1452.17
"/local/scratch/rgr22/linux-2.6.18/include/media"	0	28	4412.25	4566.48
"/local/scratch/rgr22/linux-2.6.18/include/math-emu"	0	10	11589.4	8029.66
"/local/scratch/rgr22/linux-2.6.18/include/linux"	20	713	6197.18	10238.42
"/local/scratch/rgr22/linux-2.6.18/include/linux/usb"	0	6	7438	8467.61
"/local/scratch/rgr22/linux-2.6.18/include/linux/tc_ematch"	0	5	559.6	698.48
"/local/scratch/rgr22/linux-2.6.18/include/linux/tc_act"	0	6	488.5	278.92
"/local/scratch/rgr22/linux-2.6.18/include/linux/sunrpc"	0	24	3933.5	2820.1
"/local/scratch/rgr22/linux-2.6.18/include/linux/spi"	0	4	7441.25	9484.64
"/local/scratch/rgr22/linux-2.6.18/include/linux/raid"	0	13	4545.38	4280.96
"/local/scratch/rgr22/linux-2.6.18/include/linux/nfsd"	0	15	4917.2	4920.7
"/local/scratch/rgr22/linux-2.6.18/include/linux/netfilter_ipv6"	0	21	812.33	1816.64
"/local/scratch/rgr22/linux-2.6.18/include/linux/netfilter_ipv4"	0	72	1666.88	4372.76
"/local/scratch/rgr22/linux-2.6.18/include/linux/netfilter_bridge"	0	17	1317.76	2775.8
"/local/scratch/rgr22/linux-2.6.18/include/linux/netfilter_arp"	0	3	2651.33	3332.13
"/local/scratch/rgr22/linux-2.6.18/include/linux/netfilter"	0	40	1152.03	1856.72
"/local/scratch/rgr22/linux-2.6.18/include/linux/mtd"	0	26	4016.81	4489.62
"/local/scratch/rgr22/linux-2.6.18/include/linux/mmc"	0	4	4980.75	2629.15
"/local/scratch/rgr22/linux-2.6.18/include/linux/lockd"	0	8	2101.38	2038.13
"/local/scratch/rgr22/linux-2.6.18/include/linux/isdn"	0	4	5669.75	5337.52
"/local/scratch/rgr22/linux-2.6.18/include/linux/hdlc"	0	2	629	609
"/local/scratch/rgr22/linux-2.6.18/include/linux/dvb"	0	9	3852.11	2504.5
"/local/scratch/rgr22/linux-2.6.18/include/linux/byteorder"	0	7	3626.86	1714.95
"/local/scratch/rgr22/linux-2.6.18/include/linux/amba"	0	4	4605	2361.32
"/local/scratch/rgr22/linux-2.6.18/include/keys"	0	1	1721	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-xtensa"	2	95	2276.95	2997.2
"/local/scratch/rgr22/linux-2.6.18/include/asm-xtensa/xtensa"	1	9	13063.78	10142.39
"/local/scratch/rgr22/linux-2.6.18/include/asm-xtensa/xtensa/config-linux_be"	0	5	19168.2	24537.16
"/local/scratch/rgr22/linux-2.6.18/include/asm-xtensa/platform-iss"	0	1	613	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-x86_64"	0	154	2611.84	3649.89
"/local/scratch/rgr22/linux-2.6.18/include/asm-v850"	0	118	1973.04	2294.44
"/local/scratch/rgr22/linux-2.6.18/include/asm-um"	0	138	638.49	1299.99
"/local/scratch/rgr22/linux-2.6.18/include/asm-sparc64"	0	156	3818.15	7067.18
"/local/scratch/rgr22/linux-2.6.18/include/asm-sparc"	0	156	3210.1	3525.14
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh64"	0	93	1860.65	3076.47
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh"	28	112	2162.17	3078.98
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/systemh"	0	2	2060	106
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/snapgear"	0	1	2994	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/sh2000"	0	1	174	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/sh03"	0	3	517	336.29
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/se7751"	0	2	1994.5	182.5
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/se73180"	0	2	1758.5	437.5
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/se7300"	0	2	1713.5	457.5
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/se"	0	3	3127	1841.93
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/saturn"	0	2	693.5	216.5
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/rts7751r2d"	0	4	4703	5529.18
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/overdrive"	0	4	2066	1287.57
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/mpc1211"	0	7	2884.14	3555.24
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/hs7751rvoip"	0	3	1203	724.38
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/hp6xx"	0	3	313	209.06
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/hd64465"	0	3	5574	5506.25
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/hd64461"	0	2	4709	3052
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/harp"	0	2	704.5	514.5
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/edosk7705"	0	1	1118	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/ec3104"	0	4	830.25	247.2
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/dreamcast"	0	3	1012	342.26
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/dmida"	0	1	193	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/cqreek"	0	1	701	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/cpu-sh4"	0	13	1009	493.7
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/cpu-sh3"	0	14	925.79	709.81
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/cpu-sh2"	0	8	880.25	512.38
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/cat68701"	0	1	621	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/bigsur"	0	3	1440.33	765.37
"/local/scratch/rgr22/linux-2.6.18/include/asm-sh/adx"	0	1	2625	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-s390"	0	112	3249.55	4830.76
"/local/scratch/rgr22/linux-2.6.18/include/asm-ppc"	0	80	7553.6	9957.47
"/local/scratch/rgr22/linux-2.6.18/include/asm-powerpc"	1	171	4181.32	5243.17
"/local/scratch/rgr22/linux-2.6.18/include/asm-powerpc/iseries"	0	16	3165.75	1283.35
"/local/scratch/rgr22/linux-2.6.18/include/asm-parisc"	0	118	3186.12	5604.53
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips"	46	182	4103.3	6807.05
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/xtalk"	0	2	3305	1755
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/vr41xx"	0	11	1966.82	827.3
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/tx4938"	0	4	9516.75	9403.28
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/tx4927"	0	5	34534.6	48500.49
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/sn"	1	17	6254.59	8992.42
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/sn/sn0"	0	8	12351	11003.22
