host	server	test	cache	average	stdev
druid-1	nocache-ls	tar	warm	259.14	1.88
skiing-0	nocache-ls	tar	warm	327.05	3.04
skiing-1	nocache-ls	tar	warm	355.15	4.16
druid-0	nocache-ls	tar	hot	81.39	1.73
druid-1	nocache-ls	tar	hot	128.9	0.98
skiing-0	nocache-ls	tar	hot	203.48	2.95
skiing-1	nocache-ls	tar	hot	234.57	4.3
druid-0	nocache-ls	rsync	warm	135.91	2.72
druid-1	nocache-ls	rsync	warm	168.76	3.3
skiing-0	nocache-ls	rsync	warm	211.59	2.23
skiing-1	nocache-ls	rsync	warm	233.89	6.1
druid-0	nocache-ls	rsync	hot	66.79	2.78
druid-1	nocache-ls	rsync	hot	96.25	3.35
skiing-0	nocache-ls	rsync	hot	143.35	1.29
skiing-1	nocache-ls	rsync	hot	164.36	5.03
druid-0	npfs	untar	reset	93.6	2.67
druid-1	npfs	untar	reset	143.06	4.57
skiing-0	npfs	untar	reset	202.03	6.21
skiing-1	npfs	untar	reset	229.39	3.84
druid-0	npfs	tar	warm	111.97	3.01
druid-1	npfs	tar	warm	138.75	3.4
skiing-0	npfs	tar	warm	160.71	1.81
skiing-1	npfs	tar	warm	181.99	0.38
druid-0	npfs	tar	hot	65.11	1.46
druid-1	npfs	tar	hot	94.1	5.38
skiing-0	npfs	tar	hot	140.74	6.75
skiing-1	npfs	tar	hot	157.11	5.6
druid-0	npfs	rsync	warm	111.48	6.38
druid-1	npfs	rsync	warm	122.39	0.93
skiing-0	npfs	rsync	warm	135.72	2.13
skiing-1	npfs	rsync	warm	145.49	0.53
druid-0	npfs	rsync	hot	45.38	1.91
druid-1	npfs	rsync	hot	67.61	3.45
skiing-0	npfs	rsync	hot	91.92	4.2
skiing-1	npfs	rsync	hot	110.38	3.31
