cluster	envoy	stdev	nocache	stdev	9p	stdev	nfs	stdev
druid-0	34167.9	769.25	22031	1146.57	33949.3	892.34	26267.2	2589.59
druid-1	30617.7	427.58	16475.2	765.63	29873.3	746.42	28891.6	497.25
skiing-0	26512.7	304.87	15341.2	1530.42	22531.9	579.44	25063.7	1073.88
skiing-1	20228.3	682.13	13051.6	713.25	19644.5	436.13	33894.5	901.86
