host	envoy	stdev	9p	stdev	nfs	stdev
druid-0	124.07	5.62	111.97	3.01	436.92	0.94
druid-1	151.97	1.85	138.75	3.4	126.98	1.86
skiing-0	242.67	1.86	160.71	1.81	116.55	1.26
skiing-1	275.1	4.21	181.99	0.38	118.58	0.77
