host	envoy-tar	stdev	envoy-rsync	stdev	9p-tar	stdev	9p-rsync	stdev
druid-0	79.89	1.46	60.63	1.32	65.11	1.46	45.38	1.91
druid-1	120.42	1.19	84.98	1.46	94.1	5.38	67.61	3.45
skiing-0	198.12	4.59	136.35	2.33	140.74	6.75	91.92	4.2
skiing-1	226.57	1.63	157.61	0.96	157.11	5.6	110.38	3.31
