cluster	envoy	stdev	nocache	stdev	9p	stdev	nfs	stdev
druid-0	3973	103.94	4754.3	64.54	8083.2	244.82	1208.4	29.4
druid-1	3709.7	78.13	4211.1	68.21	7574.7	451.39	5715.2	186
skiing-0	3578.6	99.88	4033.5	71.31	6459	113.54	5682.1	231.87
skiing-1	3419.5	129.26	3624.7	103.21	6039.1	80.48	6441.6	472.21
