host	cold	stdev	warm	stdev	hot	stdev	untar	stdev
#druid-0	201.03	1.2	124.07	5.62	79.89	1.46	215.7	4.75
druid-1	251.69	3.99	151.97	1.85	120.42	1.19	276.48	2.76
#skiing-0	321.5	2.21	242.67	1.86	198.12	4.59	384.89	3.1
skiing-1	353.44	1.69	275.1	4.21	226.57	1.63	421.66	2.85
