cluster	envoy	stdev	nocache	stdev	9p	stdev	nfs	stdev
druid-0	6535.6	275.1	13260.4	510.93	14696.8	736.17	14321.3	1854.85
druid-1	6456.9	179.22	12959	523.05	15829.9	946.29	15445.3	715.29
skiing-0	6029.9	169.35	12548.4	731.05	15823.6	574.74	13766.4	554.55
skiing-1	6252.7	563.61	12168.2	561.39	15314.3	542.68	14909.5	992.65
